ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/1993,31/1/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,41
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/1993,28/2/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,52
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/1993,31/3/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,35
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/1993,30/4/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,45
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/1993,31/5/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,55
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/1993,30/6/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,56
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/1993,31/7/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,67
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/1993,31/8/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,52
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/1993,30/9/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,54
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/1993,31/10/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,26
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/1993,30/11/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,16
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/1993,31/12/1993,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,31
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/1994,31/1/1994,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,17
